date,rank,pixel_id,x_m,y_m,predicted_lst_c
2026-08-12,33,R0226C0117,698355.0,3758625.0,41.487335
2026-08-12,34,R0235C0152,699405.0,3758355.0,41.48239
2026-08-12,35,R0255C0099,697815.0,3757755.0,41.48239
2026-08-12,36,R0216C0160,699645.0,3758925.0,41.48239
2026-08-12,37,R0217C0161,699675.0,3758895.0,41.48239
2026-08-12,38,R0224C0158,699585.0,3758685.0,41.48239
2026-08-12,39,R0246C0124,698565.0,3758025.0,41.48239
2026-08-12,40,R0216C0161,699675.0,3758925.0,41.48239
2026-08-12,41,R0242C0141,699075.0,3758145.0,41.48239
2026-08-12,42,R0241C0138,698985.0,3758175.0,41.48239
2026-08-12,43,R0240C0128,698685.0,3758205.0,41.48239
2026-08-12,44,R0223C0158,699585.0,3758715.0,41.48239
2026-08-12,45,R0255C0098,697785.0,3757755.0,41.48239
2026-08-12,46,R0217C0160,699645.0,3758895.0,41.48239
2026-08-12,47,R0180C0205,700995.0,3760005.0,41.48239
2026-08-12,48,R0215C0162,699705.0,3758955.0,41.48239
2026-08-12,49,R0234C0146,699225.0,3758385.0,41.48239
2026-08-12,50,R0215C0161,699675.0,3758955.0,41.48239
2026-08-12,51,R0221C0120,698445.0,3758775.0,41.471367
2026-08-12,52,R0225C0116,698325.0,3758655.0,41.465595
2026-08-12,53,R0225C0115,698295.0,3758655.0,41.465595
2026-08-12,54,R0248C0089,697515.0,3757965.0,41.464256
2026-08-12,55,R0225C0149,699315.0,3758655.0,41.464256
2026-08-12,56,R0245C0092,697605.0,3758055.0,41.464256
2026-08-12,57,R0249C0089,697515.0,3757935.0,41.464256
2026-08-12,58,R0220C0120,698445.0,3758805.0,41.46407
2026-08-12,59,R0214C0112,698205.0,3758985.0,41.46407
2026-08-12,60,R0247C0094,697665.0,3757995.0,41.444885
2026-08-12,61,R0142C0195,700695.0,3761145.0,41.442516
2026-08-12,62,R0246C0132,698805.0,3758025.0,41.43999
2026-08-12,63,R0240C0151,699375.0,3758205.0,41.43999
2026-08-12,64,R0240C0152,699405.0,3758205.0,41.43999
2026-08-12,65,R0240C0153,699435.0,3758205.0,41.43999
2026-08-12,66,R0239C0151,699375.0,3758235.0,41.43999
2026-08-12,67,R0242C0142,699105.0,3758145.0,41.43999
2026-08-12,68,R0239C0152,699405.0,3758235.0,41.43999
2026-08-12,69,R0241C0149,699315.0,3758175.0,41.43999
2026-08-12,70,R0249C0128,698685.0,3757935.0,41.43999
2026-08-12,71,R0249C0129,698715.0,3757935.0,41.43999
